,id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
0,bitcoin,btc,Bitcoin,26499.0,515578221685,1,556194511269.0,11670915332.0,26668.0,25816.0,489.21,1.88,9198537507.0,1.82,19466468.0,21000000.0,21000000.0,69045.0,-61.64,2021-11-10,67.81,38960.86,2013-07-06,2023-08-24
1,ethereum,eth,Ethereum,1673.29,201072640129,2,201072640129.0,9189453710.0,1689.23,1636.16,29.69,1.81,3445022162.0,1.74,120214161.67,120214161.67,,4878.26,-65.71,2021-11-10,0.43,386199.94,2015-10-20,2023-08-24
2,tether,usdt,Tether,1.0,82692196441,3,82692196441.0,16120545079.0,1.0,1.0,-0.0,-0.14,-135056295.19,-0.16,82845776808.29,82845776808.29,,1.32,-24.56,2018-07-24,0.57,74.34,2015-03-02,2023-08-24
3,binancecoin,bnb,BNB,219.47,33760780400,4,43886163017.0,514351776.0,220.17,213.05,4.24,1.97,635591866.0,1.92,153856150.0,153856150.0,200000000.0,686.31,-68.05,2021-05-10,0.04,550646.24,2017-10-19,2023-08-24
4,ripple,xrp,XRP,0.53,27781146076,5,52502257356.0,866071788.0,0.53,0.52,0.01,1.28,385903632.0,1.41,52914193551.0,99988485729.0,100000000000.0,3.4,-84.55,2018-01-07,0.0,19441.15,2014-05-22,2023-08-24
5,usd-coin,usdc,USD Coin,1.0,25980333747,6,25984432728.0,2760000720.0,1.01,1.0,-0.0,-0.06,67477068.0,0.26,25986458989.53,25990558937.29,,1.17,-14.74,2019-05-08,0.88,13.92,2023-03-11,2023-08-24
6,staked-ether,steth,Lido Staked Ether,1672.56,13967668598,7,13967668598.0,7952302.0,1688.98,1635.14,30.92,1.88,284800515.0,2.08,8352501.95,8352501.95,8352501.95,4829.57,-65.32,2021-11-10,482.9,246.81,2020-12-22,2023-08-24
7,cardano,ada,Cardano,0.27,9371547925,8,12033654043.0,174479829.0,0.27,0.26,0.01,2.86,254326869.0,2.79,35045020830.32,45000000000.0,45000000000.0,3.09,-91.34,2021-09-02,0.02,1288.97,2020-03-13,2023-08-24
8,dogecoin,doge,Dogecoin,0.06,8943913274,9,8943901833.0,265832590.0,0.06,0.06,0.0,0.46,32196980.0,0.36,140718896383.7,140718716383.7,,0.73,-91.31,2021-05-08,0.0,73036.29,2015-05-06,2023-08-24
9,solana,sol,Solana,21.74,8854943657,10,12066010699.0,422840703.0,21.97,20.47,0.98,4.72,383125775.0,4.52,407771058.29,555641022.96,,259.96,-91.64,2021-11-06,0.5,4241.74,2020-05-11,2023-08-24
